Date,Close
02/01/2020,5.997749805
03/01/2020,5.901750088
06/01/2020,5.926499844
07/01/2020,5.998250008
08/01/2020,6.009500027
09/01/2020,6.075500011
10/01/2020,6.107999802
13/01/2020,6.299499989
14/01/2020,6.18200016
15/01/2020,6.139249802
16/01/2020,6.223249912
17/01/2020,6.231999874
21/01/2020,6.198500156
22/01/2020,6.25274992
23/01/2020,6.321499825
24/01/2020,6.262000084
27/01/2020,6.005000114
28/01/2020,6.199250221
29/01/2020,6.138500214
30/01/2020,6.145249844
31/01/2020,5.910749912
03/02/2020,6.008250237
04/02/2020,6.178249836
05/02/2020,6.269000053
06/02/2020,6.356249809
07/02/2020,6.289750099
10/02/2020,6.574250221
11/02/2020,6.697249889
12/02/2020,6.813499928
13/02/2020,6.769499779
14/02/2020,7.244750023
18/02/2020,7.414249897
19/02/2020,7.867499828
20/02/2020,7.71750021
21/02/2020,7.351749897
24/02/2020,6.831999779
25/02/2020,6.551249981
26/02/2020,6.691249847
27/02/2020,6.315000057
28/02/2020,6.751749992
02/03/2020,6.910749912
03/03/2020,6.647250175
04/03/2020,7.112750053
05/03/2020,6.832250118
06/03/2020,6.651000023
09/03/2020,6.136000156
10/03/2020,6.52699995
11/03/2020,6.16174984
12/03/2020,5.40775013
13/03/2020,6.020999908
16/03/2020,4.909999847
17/03/2020,5.431749821
18/03/2020,5.070499897
19/03/2020,5.324250221
20/03/2020,5.143750191
23/03/2020,5.317249775
24/03/2020,6.229499817
25/03/2020,6.140500069
26/03/2020,6.431000233
27/03/2020,6.318250179
30/03/2020,6.639750004
31/03/2020,6.590000153
01/04/2020,6.076749802
02/04/2020,6.386750221
03/04/2020,6.097750187
06/04/2020,6.710000038
07/04/2020,6.475749969
08/04/2020,6.673749924
09/04/2020,6.573750019
13/04/2020,6.746250153
14/04/2020,7.098750114
15/04/2020,7.020999908
16/04/2020,7.367499828
17/04/2020,7.308000088
20/04/2020,7.176249981
21/04/2020,6.737750053
22/04/2020,7.153749943
23/04/2020,7.100249767
24/04/2020,7.239749908
27/04/2020,7.427000046
28/04/2020,7.28399992
29/04/2020,7.461500168
30/04/2020,7.30700016
01/05/2020,7.069499969
04/05/2020,7.282249928
05/05/2020,7.343500137
06/05/2020,7.444749832
07/05/2020,7.621749878
08/05/2020,7.8125
11/05/2020,8.065500259
12/05/2020,7.802499771
13/05/2020,7.78000021
14/05/2020,8.030500412
15/05/2020,8.490750313
18/05/2020,8.750249863
19/05/2020,8.805500031
20/05/2020,8.970000267
21/05/2020,8.775250435
22/05/2020,9.026249886
26/05/2020,8.717749596
27/05/2020,8.525250435
28/05/2020,8.487000465
29/05/2020,8.875499725
01/06/2020,8.806249619
02/06/2020,8.825249672
03/06/2020,8.769499779
04/06/2020,8.766500473
05/06/2020,8.920000076
08/06/2020,8.805000305
09/06/2020,9.045999527
10/06/2020,9.366749763
11/06/2020,8.796250343
12/06/2020,8.932499886
15/06/2020,9.173749924
16/06/2020,9.068499565
17/06/2020,9.236000061
18/06/2020,9.218000412
19/06/2020,9.261249542
22/06/2020,9.526749611
23/06/2020,9.449999809
24/06/2020,9.235500336
25/06/2020,9.489999771
26/06/2020,9.154999733
29/06/2020,9.199999809
30/06/2020,9.497750282
01/07/2020,9.529999733
02/07/2020,9.612250328
06/07/2020,9.839249611
07/07/2020,9.871749878
08/07/2020,10.2159996
09/07/2020,10.50899982
10/07/2020,10.47924995
13/07/2020,10.05224991
14/07/2020,10.37699986
15/07/2020,10.2272501
16/07/2020,10.13475037
17/07/2020,10.20149994
20/07/2020,10.51074982
21/07/2020,10.32849979
22/07/2020,10.43875027
23/07/2020,10.12975025
24/07/2020,10.19449997
27/07/2020,10.42150021
